onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
1669.7644	10	speech	1	16697644	3	-3 dB	1	2	n/a	speech/alice/alice_361_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_090_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_250_peaky_diotic_regress.hdf5	n/a	n/a
1679.8553	10	speech	1	16798553	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_032_peaky_diotic_regress.hdf5	n/a	n/a
1689.9249	10	speech	1	16899249	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_124_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_220_peaky_diotic_regress.hdf5	n/a	n/a
1699.9944	10	speech	1	16999944	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_226_peaky_diotic_regress.hdf5	n/a
1710.064	10	speech	1	17100640	3	-3 dB	1	2	n/a	speech/alice/alice_078_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_042_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_251_peaky_diotic_regress.hdf5	n/a
1720.155	10	speech	1	17201550	5	-6 dB	1	2	n/a	speech/alice/alice_137_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_178_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_155_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_266_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_112_peaky_diotic_regress.hdf5
1730.2245	10	speech	1	17302245	5	-6 dB	1	2	n/a	speech/alice/alice_296_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_299_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_055_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_217_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_002_peaky_diotic_regress.hdf5
1740.2941	10	speech	1	17402941	2	0 dB	1	2	n/a	speech/alice/alice_213_peaky_diotic_regress.hdf5	n/a	n/a	speech/timemachine/timemachine_331_peaky_diotic_regress.hdf5	n/a
1750.3637	10	speech	1	17503637	1	clean	1	2	n/a	speech/alice/alice_104_peaky_diotic_regress.hdf5	n/a	n/a	n/a	n/a
1760.4546	10	speech	1	17604546	3	-3 dB	1	2	n/a	speech/alice/alice_094_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_290_peaky_diotic_regress.hdf5	n/a	n/a	speech/wizardofoz/wizardofoz_233_peaky_diotic_regress.hdf5
1770.5242	10	speech	1	17705242	3	-3 dB	1	2	n/a	speech/alice/alice_147_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_123_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_077_peaky_diotic_regress.hdf5
1780.5938	10	speech	1	17805938	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_339_peaky_diotic_regress.hdf5	n/a
1790.6847	10	speech	1	17906847	2	0 dB	1	2	n/a	speech/alice/alice_286_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_371_peaky_diotic_regress.hdf5	n/a	n/a	n/a
