onset	duration	value	event	stim_file
131217	0	20	cross/white	n/a
131723	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
131843	0	20	cross/white	n/a
132355	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
132451	0	20	cross/white	n/a
132969	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
133096	0	20	cross/white	n/a
133644	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
133770	0	20	cross/white	n/a
134300	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
134409	0	20	cross/white	n/a
134908	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
134999	0	20	cross/white	n/a
135517	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
135649	0	20	cross/white	n/a
136209	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
136336	0	20	cross/white	n/a
136866	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
136968	0	20	cross/white	n/a
137480	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
137588	0	20	cross/white	n/a
138094	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
138190	0	20	cross/white	n/a
138678	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
138762	0	20	cross/white	n/a
139250	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
139353	0	20	cross/white	n/a
139876	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
139997	0	20	cross/white	n/a
140539	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
140665	0	20	cross/white	n/a
141189	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
141292	0	20	cross/white	n/a
141791	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
141888	0	20	cross/white	n/a
142406	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
142526	0	20	cross/white	n/a
143026	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
143110	0	20	cross/white	n/a
143610	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
143730	0	20	cross/white	n/a
144266	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
144381	0	20	cross/white	n/a
144917	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
145043	0	20	cross/white	n/a
145597	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
145730	0	20	cross/white	n/a
146278	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
146392	0	20	cross/white	n/a
146916	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
147024	0	20	cross/white	n/a
147560	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
147693	0	20	cross/white	n/a
148235	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
148349	0	20	cross/white	n/a
148885	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
149006	0	20	cross/white	n/a
149535	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
149644	0	20	cross/white	n/a
150168	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
150282	0	20	cross/white	n/a
150812	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
150933	0	20	cross/white	n/a
151462	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
151571	0	20	cross/white	n/a
152095	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
152209	0	20	cross/white	n/a
152751	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
152878	0	20	cross/white	n/a
153383	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
153468	0	20	cross/white	n/a
153974	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
154094	0	20	cross/white	n/a
154624	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
154738	0	20	cross/white	n/a
155244	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
155334	0	20	cross/white	n/a
155846	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
155967	0	20	cross/white	n/a
156473	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
156557	0	20	cross/white	n/a
157069	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
157195	0	20	cross/white	n/a
157755	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
157888	0	20	cross/white	n/a
158418	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
158520	0	20	cross/white	n/a
159044	0	54	red/neutral/standard/4	SHINEd_022_y_f_n_a.jpg
159170	0	20	cross/white	n/a
159285	0	111	button_press	n/a
159718	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
159839	0	20	cross/white	n/a
160375	0	66	white/neutral/standard/6	SHINEd_008_y_m_n_b.jpg
160495	0	20	cross/white	n/a
161031	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
161152	0	20	cross/white	n/a
161657	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
161748	0	20	cross/white	n/a
162248	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
162356	0	20	cross/white	n/a
162868	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
162970	0	20	cross/white	n/a
163458	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
163542	0	20	cross/white	n/a
164036	0	36	red/happy/standard/6	SHINEd_028_y_f_h_a.jpg
164144	0	20	cross/white	n/a
164271	0	111	button_press	n/a
164680	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
164807	0	20	cross/white	n/a
